Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
WS,ws:inference_frame,465,0,860,854.1412643011237,116.16089999915857,1237.7792999996018,89.0,9.613148086215212,0.0,860,930,960,990,1100,1100,1200,1200,1200,1200,1200
,Aggregated,465,0,860,854.1412643011237,116.16089999915857,1237.7792999996018,89.0,9.613148086215212,0.0,860,930,960,990,1100,1100,1200,1200,1200,1200,1200
